"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Epidemiologist","Epidemiologist.revisionStatus","Epidemiologist.revisionStatus","","","",1,1,"","","","code {[]} {[]}
","Revision status","Revision status","","","","","","","","","",,"required","","http://example.org/ValueSet/RevisionStatusVS","http://example.org/CodeSystem/dhis2-data-elements-cs#liXWgMY482d
",,,,"Epidemiologist.revisionStatus",1,1,"",""
"Epidemiologist","Epidemiologist.nationalPublicHealthMeasures","Epidemiologist.nationalPublicHealthMeasures","","","",0,1,"","","","code {[]} {[]}
","National Public health measures","National Public health measures","","","","","","","","","",,"required","","http://example.org/ValueSet/IndividualPublicHealthMeasuresVS","http://example.org/CodeSystem/dhis2-data-elements-cs#KqxOxmjPr8P
",,,,"Epidemiologist.nationalPublicHealthMeasures",0,1,"",""
"Epidemiologist","Epidemiologist.transmission","Epidemiologist.transmission","","","",0,1,"","","","code {[]} {[]}
","Transmission","Transmission","","","","","","","","","",,"required","","http://example.org/ValueSet/TransmissionVS","http://example.org/CodeSystem/dhis2-data-elements-cs#Als7IJZa0rX
",,,,"Epidemiologist.transmission",0,1,"",""
"FinalClassification","FinalClassification","FinalClassification","","","",0,*,"","","","null {[]} {[]}
","Final classification","Final classification","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"FinalClassification","FinalClassification.finalClassification","FinalClassification.finalClassification","","","",0,1,"","","","code {[]} {[]}
","Final classification","Final classification","","","","","","","","","",,"required","","http://example.org/ValueSet/FinalClassificationVS","http://example.org/CodeSystem/dhis2-data-elements-cs#dYJgsSSJgHs
",,,,"FinalClassification.finalClassification",0,1,"",""
"Laboratory","Laboratory","Laboratory","","","",0,*,"","","","null {[]} {[]}
","Laboratory","Laboratory","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Laboratory","Laboratory.sampleLabId","Laboratory.sampleLabId","","","",0,1,"","","","string {[]} {[]}
","Sample lab ID","Sample lab ID","","","","","","","","","",,,,,"http://example.org/CodeSystem/dhis2-data-elements-cs#sQiBsUwzELG
",,,,"Laboratory.sampleLabId",0,1,"",""
"Laboratory","Laboratory.dateSampleTaken","Laboratory.dateSampleTaken","","","",0,1,"","","","date {[]} {[]}
","Date sample taken","Date sample taken","","","","","","","","","",,,,,"http://example.org/CodeSystem/dhis2-data-elements-cs#whgBiFURMOW
",,,,"Laboratory.dateSampleTaken",0,1,"",""
"Laboratory","Laboratory.dateSampleDeliveredToLab","Laboratory.dateSampleDeliveredToLab","","","",0,1,"","","","date {[]} {[]}
","Date sample delivered to lab","Date sample delivered to lab","","","","","","","","","",,,,,"http://example.org/CodeSystem/dhis2-data-elements-cs#rog9VZpf1Fc
",,,,"Laboratory.dateSampleDeliveredToLab",0,1,"",""
"Laboratory","Laboratory.dateSampleTested","Laboratory.dateSampleTested","","","",0,1,"","","","date {[]} {[]}
","Date sample tested","Date sample tested","","","","","","","","","",,,,,"http://example.org/CodeSystem/dhis2-data-elements-cs#lmEOrK9lpKu
",,,,"Laboratory.dateSampleTested",0,1,"",""
